distance,driving_time,grid_id,status,supermarket_id
20662.0,2460.0,13,OK,0
19157.0,2330.0,13,OK,1
18814.0,2300.0,13,OK,2
22118.0,2737.0,13,OK,3
26422.0,3087.0,13,OK,4
18169.0,2162.0,13,OK,5
19011.0,2277.0,13,OK,6
24716.0,2922.0,13,OK,7
25170.0,2911.0,13,OK,8
26287.0,3053.0,13,OK,9
16366.0,1938.0,13,OK,10
20914.0,2480.0,13,OK,11
16781.0,2004.0,13,OK,12
21088.0,2492.0,13,OK,13
18104.0,2133.0,13,OK,14
19157.0,2330.0,13,OK,15
18138.0,2155.0,13,OK,16
24307.0,2777.0,13,OK,17
24793.0,2947.0,13,OK,18
16179.0,1896.0,13,OK,19
18192.0,2167.0,13,OK,22
18984.0,2301.0,13,OK,31
18924.0,2292.0,13,OK,33
18480.0,2200.0,13,OK,34
24444.0,2895.0,13,OK,35
20824.0,2473.0,13,OK,36
23937.0,2849.0,13,OK,38
19051.0,2314.0,13,OK,39
20662.0,2460.0,14,OK,0
19157.0,2330.0,14,OK,1
18814.0,2300.0,14,OK,2
22118.0,2737.0,14,OK,3
26422.0,3087.0,14,OK,4
18169.0,2162.0,14,OK,5
19011.0,2277.0,14,OK,6
24716.0,2922.0,14,OK,7
25170.0,2911.0,14,OK,8
26287.0,3053.0,14,OK,9
16366.0,1938.0,14,OK,10
20914.0,2480.0,14,OK,11
16781.0,2004.0,14,OK,12
21088.0,2492.0,14,OK,13
18104.0,2133.0,14,OK,14
19157.0,2330.0,14,OK,15
18138.0,2155.0,14,OK,16
24307.0,2777.0,14,OK,17
24793.0,2947.0,14,OK,18
16179.0,1896.0,14,OK,19
18192.0,2167.0,14,OK,22
18984.0,2301.0,14,OK,31
18924.0,2292.0,14,OK,33
18480.0,2200.0,14,OK,34
24444.0,2895.0,14,OK,35
20824.0,2473.0,14,OK,36
23937.0,2849.0,14,OK,38
19051.0,2314.0,14,OK,39
21717.0,2514.0,16,OK,0
20212.0,2384.0,16,OK,1
19869.0,2353.0,16,OK,2
23173.0,2790.0,16,OK,3
27476.0,3141.0,16,OK,4
19224.0,2215.0,16,OK,5
20065.0,2331.0,16,OK,6
25771.0,2975.0,16,OK,7
26224.0,2964.0,16,OK,8
27342.0,3106.0,16,OK,9
17421.0,1992.0,16,OK,10
21968.0,2534.0,16,OK,11
17835.0,2057.0,16,OK,12
22143.0,2545.0,16,OK,13
19158.0,2186.0,16,OK,14
20212.0,2384.0,16,OK,15
19193.0,2208.0,16,OK,16
25362.0,2830.0,16,OK,17
25848.0,3001.0,16,OK,18
17234.0,1950.0,16,OK,19
19247.0,2221.0,16,OK,22
20038.0,2354.0,16,OK,31
19979.0,2346.0,16,OK,33
19535.0,2254.0,16,OK,34
25499.0,2949.0,16,OK,35
21879.0,2527.0,16,OK,36
24991.0,2902.0,16,OK,38
20105.0,2368.0,16,OK,39
31278.0,3453.0,17,OK,0
30792.0,3208.0,17,OK,1
31586.0,3371.0,17,OK,2
34892.0,3316.0,17,OK,3
24370.0,2452.0,17,OK,4
31282.0,3367.0,17,OK,5
31487.0,3362.0,17,OK,6
26005.0,2563.0,17,OK,7
25157.0,2639.0,17,OK,8
24270.0,2456.0,17,OK,9
32648.0,3698.0,17,OK,10
33108.0,3489.0,17,OK,11
33426.0,3567.0,17,OK,12
31830.0,3349.0,17,OK,13
30820.0,3247.0,17,OK,14
30792.0,3208.0,17,OK,15
31484.0,3368.0,17,OK,16
25914.0,2654.0,17,OK,17
26082.0,2588.0,17,OK,18
33251.0,3533.0,17,OK,19
31294.0,3376.0,17,OK,22
31060.0,3325.0,17,OK,31
31249.0,3310.0,17,OK,33
31425.0,3362.0,17,OK,34
25759.0,2498.0,17,OK,35
31627.0,3291.0,17,OK,36
26503.0,2719.0,17,OK,38
30789.0,3230.0,17,OK,39
31145.0,3412.0,18,OK,0
30659.0,3167.0,18,OK,1
31453.0,3330.0,18,OK,2
34759.0,3275.0,18,OK,3
24237.0,2411.0,18,OK,4
31149.0,3326.0,18,OK,5
31354.0,3321.0,18,OK,6
25873.0,2522.0,18,OK,7
25024.0,2598.0,18,OK,8
24137.0,2415.0,18,OK,9
32515.0,3657.0,18,OK,10
32975.0,3448.0,18,OK,11
33293.0,3526.0,18,OK,12
31697.0,3308.0,18,OK,13
30687.0,3206.0,18,OK,14
30659.0,3167.0,18,OK,15
31351.0,3327.0,18,OK,16
25782.0,2613.0,18,OK,17
25949.0,2547.0,18,OK,18
33119.0,3492.0,18,OK,19
31161.0,3335.0,18,OK,22
30927.0,3284.0,18,OK,31
31117.0,3269.0,18,OK,33
31292.0,3320.0,18,OK,34
25626.0,2457.0,18,OK,35
31494.0,3250.0,18,OK,36
26371.0,2678.0,18,OK,38
30657.0,3189.0,18,OK,39
35680.0,3324.0,33,OK,0
30800.0,3187.0,33,OK,1
31594.0,3350.0,33,OK,2
34587.0,3110.0,33,OK,3
24377.0,2431.0,33,OK,4
31289.0,3346.0,33,OK,5
31495.0,3341.0,33,OK,6
26013.0,2542.0,33,OK,7
25164.0,2618.0,33,OK,8
24278.0,2435.0,33,OK,9
33510.0,3668.0,33,OK,10
36092.0,3394.0,33,OK,11
33433.0,3546.0,33,OK,12
36342.0,3365.0,33,OK,13
30827.0,3226.0,33,OK,14
30800.0,3187.0,33,OK,15
31492.0,3347.0,33,OK,16
25922.0,2633.0,33,OK,17
26089.0,2567.0,33,OK,18
33259.0,3512.0,33,OK,19
31302.0,3355.0,33,OK,22
31067.0,3304.0,33,OK,31
31257.0,3289.0,33,OK,33
31432.0,3341.0,33,OK,34
25766.0,2477.0,33,OK,35
31635.0,3270.0,33,OK,36
26511.0,2698.0,33,OK,38
30797.0,3209.0,33,OK,39
29391.0,3071.0,34,OK,0
30817.0,3083.0,34,OK,1
31611.0,3247.0,34,OK,2
28299.0,2856.0,34,OK,3
24847.0,2649.0,34,OK,4
31307.0,3243.0,34,OK,5
31218.0,3268.0,34,OK,6
26482.0,2760.0,34,OK,7
25634.0,2836.0,34,OK,8
24747.0,2653.0,34,OK,9
33528.0,3564.0,34,OK,10
29804.0,3141.0,34,OK,11
33451.0,3442.0,34,OK,12
30054.0,3111.0,34,OK,13
30845.0,3123.0,34,OK,14
30817.0,3083.0,34,OK,15
31509.0,3243.0,34,OK,16
27683.0,2794.0,34,OK,17
26559.0,2785.0,34,OK,18
33276.0,3409.0,34,OK,19
31319.0,3251.0,34,OK,22
31085.0,3200.0,34,OK,31
31274.0,3186.0,34,OK,33
31450.0,3237.0,34,OK,34
26236.0,2695.0,34,OK,35
29790.0,3092.0,34,OK,36
26980.0,2916.0,34,OK,38
30814.0,3106.0,34,OK,39
29099.0,3001.0,35,OK,0
30525.0,3013.0,35,OK,1
31319.0,3177.0,35,OK,2
28007.0,2786.0,35,OK,3
25139.0,2708.0,35,OK,4
31015.0,3172.0,35,OK,5
30926.0,3197.0,35,OK,6
26775.0,2818.0,35,OK,7
28254.0,2857.0,35,OK,8
