left,top,right,bottom,id,district
11152054.94,578925.2518,11153054.94,577925.2518,98,
11152054.94,577925.2518,11153054.94,576925.2518,99,
11152054.94,576925.2518,11153054.94,575925.2518,100,
11152054.94,575925.2518,11153054.94,574925.2518,101,
11152054.94,574925.2518,11153054.94,573925.2518,102,
11152054.94,573925.2518,11153054.94,572925.2518,103,
11152054.94,572925.2518,11153054.94,571925.2518,104,
11152054.94,571925.2518,11153054.94,570925.2518,105,
11152054.94,570925.2518,11153054.94,569925.2518,106,
11153054.94,622925.2518,11154054.94,621925.2518,107,
11153054.94,621925.2518,11154054.94,620925.2518,108,
11153054.94,620925.2518,11154054.94,619925.2518,109,
11153054.94,619925.2518,11154054.94,618925.2518,110,
11153054.94,618925.2518,11154054.94,617925.2518,111,
11153054.94,617925.2518,11154054.94,616925.2518,112,
11153054.94,616925.2518,11154054.94,615925.2518,113,
11153054.94,615925.2518,11154054.94,614925.2518,114,
11153054.94,614925.2518,11154054.94,613925.2518,115,
11153054.94,613925.2518,11154054.94,612925.2518,116,
11153054.94,612925.2518,11154054.94,611925.2518,117,
11153054.94,611925.2518,11154054.94,610925.2518,118,
11153054.94,610925.2518,11154054.94,609925.2518,119,Barat Daya
11153054.94,609925.2518,11154054.94,608925.2518,120,Barat Daya
11153054.94,608925.2518,11154054.94,607925.2518,121,Barat Daya
11153054.94,607925.2518,11154054.94,606925.2518,122,Barat Daya
11153054.94,606925.2518,11154054.94,605925.2518,123,Barat Daya
11153054.94,605925.2518,11154054.94,604925.2518,124,Barat Daya
11153054.94,604925.2518,11154054.94,603925.2518,125,Barat Daya
11153054.94,603925.2518,11154054.94,602925.2518,126,Barat Daya
11153054.94,602925.2518,11154054.94,601925.2518,127,Barat Daya
11153054.94,601925.2518,11154054.94,600925.2518,128,Barat Daya
11153054.94,600925.2518,11154054.94,599925.2518,129,Barat Daya
11153054.94,599925.2518,11154054.94,598925.2518,130,Barat Daya
11153054.94,598925.2518,11154054.94,597925.2518,131,Barat Daya
11153054.94,597925.2518,11154054.94,596925.2518,132,Barat Daya
11153054.94,596925.2518,11154054.94,595925.2518,133,Barat Daya
11153054.94,595925.2518,11154054.94,594925.2518,134,Barat Daya
11153054.94,594925.2518,11154054.94,593925.2518,135,Barat Daya
11153054.94,593925.2518,11154054.94,592925.2518,136,Barat Daya
11153054.94,592925.2518,11154054.94,591925.2518,137,Barat Daya
11153054.94,591925.2518,11154054.94,590925.2518,138,Barat Daya
11153054.94,590925.2518,11154054.94,589925.2518,139,Barat Daya
11153054.94,589925.2518,11154054.94,588925.2518,140,Barat Daya
11153054.94,588925.2518,11154054.94,587925.2518,141,
11153054.94,587925.2518,11154054.94,586925.2518,142,
11153054.94,586925.2518,11154054.94,585925.2518,143,
11153054.94,585925.2518,11154054.94,584925.2518,144,
11153054.94,584925.2518,11154054.94,583925.2518,145,
11153054.94,583925.2518,11154054.94,582925.2518,146,
11153054.94,582925.2518,11154054.94,581925.2518,147,
11153054.94,581925.2518,11154054.94,580925.2518,148,
11153054.94,580925.2518,11154054.94,579925.2518,149,
11153054.94,579925.2518,11154054.94,578925.2518,150,
11153054.94,578925.2518,11154054.94,577925.2518,151,
11153054.94,577925.2518,11154054.94,576925.2518,152,
11153054.94,576925.2518,11154054.94,575925.2518,153,
11153054.94,575925.2518,11154054.94,574925.2518,154,
11153054.94,574925.2518,11154054.94,573925.2518,155,
11153054.94,573925.2518,11154054.94,572925.2518,156,
11153054.94,572925.2518,11154054.94,571925.2518,157,
11153054.94,571925.2518,11154054.94,570925.2518,158,
11153054.94,570925.2518,11154054.94,569925.2518,159,
11154054.94,622925.2518,11155054.94,621925.2518,160,
11154054.94,621925.2518,11155054.94,620925.2518,161,
11154054.94,620925.2518,11155054.94,619925.2518,162,
11154054.94,619925.2518,11155054.94,618925.2518,163,
11154054.94,618925.2518,11155054.94,617925.2518,164,
11154054.94,617925.2518,11155054.94,616925.2518,165,
11154054.94,616925.2518,11155054.94,615925.2518,166,
11154054.94,615925.2518,11155054.94,614925.2518,167,
11154054.94,614925.2518,11155054.94,613925.2518,168,
11154054.94,613925.2518,11155054.94,612925.2518,169,
11154054.94,612925.2518,11155054.94,611925.2518,170,
11154054.94,611925.2518,11155054.94,610925.2518,171,
